TOKENS;AI;GAMING;MEMES;top;Symbol;1h%;24h%;7d%;Volumen (24h) USD;Volumen (24h) Tokens;ACC. CIRCULACION;CAP. USD;Precio USD;Alameda Research;Arrington XRP Capital;Binance Labs;Blockchain Capital;CMS Holdings;Coinfund;DCG;DeFiance Capital;DWF Labs;eGirl Capital;Fabric Ventures;Fenbushi Capital;Multicoin Capital;Pantera Capital;Paradigm;Placeholder Ventures;Play_To_Earn;Polychain Capital;Three Arrows Capital;USV;BITCOIN;CARDANO;ETHERIUM;SOLANA;TRON;OTHER
Eggdog;0;0;1;1525.0;EGG;0.51;-3.94;-23.52;1652379.0;758532898.0;945334730.0;2063526.0;0.002183;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
JUGNI;0;0;1;5702.0;JUGNI;0.82;9.55;-10.19;2948.0;1015408.0;100000000.0;290303.0;0.002903;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Elon Musk;0;0;1;6157.0;MUSK;0.0;1.59;-29.19;1072.0;53017840.0;10000000000.0;202105.0;2,02E-02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Decentraland;0;1;0;97.0;MANA;0.45;0.28;-28.93;59747785.0;137744570.0;1908319865.0;828346037.0;0.4341;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
DeFi Land;0;1;0;1055.0;DFL;-0.28;-1.18;-11.18;14186.0;9549692.0;7137303616.0;10603326.0;0.001486;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Myria;0;1;0;379.0;MYRIA;1.42;2.11;-15.54;2743366.0;401291959.0;17429230818.0;119478446.0;0.006856;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
AlphaScan AI;1;0;0;4147.0;ASCN;-0.1;3.65;-16.74;47105.0;629045.0;14520000.0;1087301.0;0.07491;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
The First Youtube Cat;0;0;1;1345.0;PAJAMAS;2.26;3.35;-16.36;275148.0;68578125.0;979915057.0;3934480.0;0.004015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
BANG;0;0;1;6417.0;BANG;0.0;-2.83;-31.25;614.0;233927.0;20999994.0;55140.0;0.002626;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Doginphire;0;0;1;7071.0;FIRE;-0.05;2.61;-27.24;129.0;1576385.0;998915329.0;81515.0;8.16e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
SIDUS;1;1;0;482.0;SIDUS;-0.38;3.58;-16.55;1201775.0;139279973.0;9356868845.0;80159143.0;0.008567;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
Ubex;1;0;0;2038.0;UBEX;0.36;2.66;-23.57;394.0;5611492.0;3306258739.0;232200.0;7,03E-02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Chief Troll Officer(BSC);0;0;1;6826.0;CTO;0.02;-7.23;-12.49;230.0;3648402.0;1000000000.0;63040.0;6,30E-02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
SNAP;0;0;1;2734.0;$NAP;1.37;5.03;-29.87;1123588.0;204034223642.0;1643298925685.0;9049420.0;5,51E-03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
BRN Metaverse;0;1;0;1021.0;BRN;-6.24;1.01;-22.76;907452.0;1770008.0;23431906.0;11955502.0;0.5127;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
SHIB2;0;0;1;5729.0;SHIB2;0.0;-6.52;-36.03;2724.0;5353808.0;1000000000.0;508784.0;0.0005088;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
TMNT;0;0;1;4986.0;$TMNT;0.0;-3.17;-11.2;12360.0;14375080.0;999990000.0;859844.0;0.0008599;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
SOLAMB;0;0;1;6010.0;SOLAMB;1.09;10.99;-41.78;1506.0;36683866.0;1000000000.0;41050.0;4,11E-02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Netvrk;1;1;0;1199.0;NETVR;1.54;1.81;-20.54;53958.0;395265.0;50557986.0;6907876.0;0.1365;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
UNKJD;0;1;0;1250.0;MBS;-3.29;5.77;-11.84;124569.0;6659077.0;303966298.0;5686926.0;0.01871;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0
DAWKOINS;0;0;1;3431.0;DAW;0.72;-8.49;-5.56;167773.0;203517156.0;989494204.0;815708.0;0.0008244;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Nirvana;0;1;0;3195.0;VANA;5.3;-7.76;-5.28;275421.0;1507283.0;60099105.0;10981703.0;0.1854;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Sugar Kingdom Odyssey;0;1;0;3485.0;SKO;1.06;-1.93;-35.38;149535.0;3366039.0;11372000.0;505196.0;0.04442;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
BONKLANA;0;0;1;5503.0;BOK;0.69;1.37;-23.29;4520.0;4761234.0;420690690.0;399363.0;0.0009493;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Artificial Liquid Intelligence;1;0;0;507.0;ALI;0.46;-1.34;4.58;1826936.0;90018232.0;3588163660.0;72572764.0;0.0203;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
RefundCoin;0;0;1;2712.0;RFD;0.32;3.25;-19.66;1206861.0;210298694053.0;1000000000000.0;5738792.0;5,74E-03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
