;+#;Nombre;Precio;1h %;24 h %;7d %;Cap. de Mercado;Volumen (24h);Acciones en circulación
113;135;Ocean Protocol OCEAN;$0.8805;-0.07%;+4.45%;-5.55%;$500.18M $500,184,894;$44,687,338 50,754,255 OCEAN;568,381,103 OCEAN
114;172;Golem GLM;$0.3771;+0.40%;+4.61%;-16.18%;$376.51M $376,505,777;$12,662,286 33,604,197 GLM;1,000,000,000 GLM
115;175;OriginTrail TRAC;$0.9213;+1.11%;-1.33%;-8.23%;$374.01M $374,007,530;$3,540,572 3,840,748 TRAC;405,356,579 TRAC
116;180;Arkham ARKM;$1.76;+0.87%;+7.71%;+2.85%;$357.96M $357,960,931;$109,806,653 62,640,255 ARKM;204,600,000 ARKM
117;192;Flux FLUX;$0.9292;+0.57%;+3.48%;-6.78%;$320.42M $320,421,354;$10,480,762 11,291,449 FLUX;345,455,887 FLUX
118;226;PAAL AI PAAL;$0.3897;+0.73%;+4.90%;-16.27%;$315.76M $315,764,445;$6,821,246 17,504,040 PAAL;809,841,362 PAAL
119;243;0x0.ai 0x0;$0.281;-0.14%;-3.89%;-9.85%;$244.04M $244,040,544;$1,728,533 6,141,982 0X0;868,563,455 0x0
120;247;Kadena KDA;$0.8846;+0.49%;+1.93%;-16.49%;$238.96M $238,963,680;$8,554,885 9,689,522 KDA;270,928,482 KDA
121;265;Arcblock ABT;$2.18;+0.50%;-0.10%;-13.98%;$215.6M $215,597,240;$2,122,085 974,483 ABT;98,554,305 ABT
122;282;iExec RLC RLC;$2.81;+1.99%;+15.09%;-4.04%;$204.04M $204,037,372;$17,600,392 6,270,194 RLC;72,382,548 RLC
123;285;RSS3 RSS3;$0.3667;-0.11%;-0.16%;+6.15%;$199.76M $199,758,903;$8,419,780 22,967,472 RSS3;545,359,116 RSS3
124;287;Delysium AGI;$0.2639;-3.91%;+8.35%;-0.16%;$194.26M $194,258,762;$36,510,725 138,339,288 AGI;738,053,003 AGI
125;290;Marlin POND;$0.02355;+0.15%;+8.18%;-6.12%;$190.31M $190,313,351;$6,428,893 272,982,587 POND;8,087,375,977 POND
126;314;IQ IQ;$0.009214;+0.02%;+7.41%;-12.95%;$166.11M $166,112,463;$15,080,651 1,638,207,344 IQ;18,032,726,356 IQ
127;324;Numeraire NMR;$25.56;-0.32%;+7.09%;-11.34%;$160.39M $160,387,047;$7,759,621 303,343 NMR;6,278,303 NMR
128;341;Covalent CQT;$0.2107;-0.32%;-5.12%;-13.08%;$144.67M $144,672,198;$1,573,183 7,465,508 CQT;686,658,970 CQT
129;343;Oraichain ORAI;$11.29;+0.00%;+0.99%;-12.15%;$143.38M $143,375,320;$6,059,192 536,873 ORAI;12,706,080 ORAI
130;344;Phala Network PHA;$0.1971;+0.43%;+1.60%;-7.37%;$140.41M $140,408,041;$10,730,613 54,484,114 PHA;713,354,827 PHA
131;349;inSure DeFi SURE;$0.005187;+0.00%;+0.93%;-10.94%;$138.96M $138,957,448;$454,671 87,657,607 SURE;26,790,063,175 SURE
