;+#;Nombre;Precio;1h %;24 h %;7d %;Cap. de Mercado;Volumen (24h);Acciones en circulación
121;1068;Decimated DIO;$0.02521;+0.44%;-6.69%;-26.07%;$10.21M $10,210,812;$269,802 10,701,786 DIO;404,783,310 DIO
122;1083;Matr1x Fire FIRE;$1.08;+0.87%;-3.17%;-0.65%;$9.69M $9,687,052;$12,219,912 11,301,892 FIRE;8,948,412 FIRE
123;1087;Decentral Games DG;$0.02152;+0.00%;+3.26%;-16.10%;$9.52M $9,519,805;$143 6,635 DG;442,416,060 DG
124;1095;PlayZap PZP;$0.2379;-1.41%;+2.43%;-16.60%;$9.28M $9,283,835;$850,016 3,572,274 PZP;38,937,311 PZP
125;1096;Hoge Finance HOGE;$0.00002347;-0.09%;+0.50%;-13.97%;$9.24M $9,239,570;$24,459 1,041,984,521 HOGE;393,869,402,757 HOGE
126;1121;Efinity Token EFI;$0.09835;-0.03%;+0.26%;-2.17%;$8.55M $8,550,367;--;86,915,139 EFI
127;1123;Gameswap GSWAP;$0.7163;+1.72%;+4.97%;-33.97%;$8.52M $8,523,916;$28,519 39,813 GSWAP;11,899,665 GSWAP
128;1130;MagicCraft MCRT;$0.001911;+0.10%;+1.87%;-11.83%;$8.35M $8,350,640;$403,757 211,268,489 MCRT;4,364,257,893 MCRT
129;1131;Pomerium PMG;$0.1101;-0.23%;-3.19%;-11.79%;$8.32M $8,316,285;$772,509 7,014,973 PMG;75,501,657 PMG
130;1139;Orbofi AI OBI;$0.01965;-0.94%;+5.18%;-5.07%;$8.13M $8,125,299;$331,158 16,854,710 OBI;414,000,000 OBI
131;1152;Thetan World THG;$0.06915;+0.10%;+3.78%;-20.10%;$7.85M $7,845,369;$860,575 12,445,666 THG;113,584,954 THG
132;1163;Ben the Dog BENDOG;$0.007705;+1.31%;+20.40%;-5.46%;$7.67M $7,674,233;$1,655,980 214,925,479 BENDOG;999,780,947 BENDOG
133;1171;Veloce VEXT;$0.06923;+1.82%;+3.87%;-25.38%;$7.52M $7,518,971;$601,946 8,695,441 VEXT;108,466,194 VEXT
134;1176;BreederDAO BREED;$0.05363;+0.22%;+2.12%;-11.81%;$7.43M $7,429,160;$599,456 11,177,042 BREED;138,607,003 BREED
135;1190;Reboot GG;$0.04316;-5.57%;+32.37%;-20.26%;$7.02M $7,019,976;$720,938 16,704,726 GG;162,237,935 GG
136;1199;Netvrk NETVR;$0.1365;+1.54%;+1.81%;-20.54%;$6.91M $6,907,876;$53,958 395,265 NETVR;50,557,986 NETVR
137;1202;Wall Street Games WSG;$0.02497;-1.42%;-0.93%;-28.93%;$6.96M $6,958,756;$72,498 2,902,878 WSG;275,384,341 WSG
138;1204;Dypius [New] DYP;$0.07732;-0.49%;-5.78%;+1.47%;$6.78M $6,781,636;$646,286 8,358,796 DYP;88,744,341 DYP
139;1212;Bag BAG;$0.002849;+0.59%;+10.06%;-13.65%;$6.58M $6,584,686;$168,138 59,026,930 BAG;2,311,127,109 BAG
140;1214;Rainbow Token RBW;$0.03315;-0.04%;+0.19%;-32.33%;$6.52M $6,515,833;$382,748 11,544,881 RBW;196,625,256 RBW
141;1215;DeHub DHB;$0.001599;+0.00%;+1.54%;-2.04%;$6.52M $6,515,561;$466 291,755 DHB;4,075,792,623 DHB
142;1228;Blink Galaxy GQ;$0.001061;+0.01%;+4.84%;-16.05%;$6.29M $6,293,915;$2,444,299 2,304,212,749 GQ;5,933,475,330 GQ
143;1234;Captain Tsubasa TSUGT;$0.03375;+0.02%;-0.52%;-1.21%;$6.04M $6,038,136;$90,352 2,676,887 TSUGT;178,880,147 TSUGT
144;1236;Aether Games AEG;$0.07502;+0.06%;-6.45%;-26.67%;$6.02M $6,024,946;$147,998 1,972,861 AEG;80,327,000 AEG
145;1250;UNKJD MBS;$0.01871;-3.29%;+5.77%;-11.84%;$5.69M $5,686,926;$124,569 6,659,077 MBS;303,966,298 MBS
146;1276;Wownero WOW;$0.07892;+6.04%;-4.76%;-16.74%;$5.23M $5,228,333;$30,611 387,878 WOW;66,139,439 WOW
147;1287;Dark Frontiers DARK;$0.02905;-0.01%;+1.70%;-13.98%;$5.03M $5,029,060;$124,251 4,276,905 DARK;173,109,555 DARK
148;1288;Gamestarter GAME;$0.1647;-0.05%;+1.79%;-18.44%;$5.01M $5,007,623;$201,372 1,222,657 GAME;30,420,970 GAME
149;1294;Cryowar CWAR;$0.01896;-0.70%;-1.33%;-22.37%;$4.93M $4,929,584;$70,069 3,695,328 CWAR;260,000,000 CWAR
150;1295;DOSE DOSE;$0.005765;+0.54%;-2.13%;-24.90%;$4.93M $4,925,056;$5,190,146 900,276,838 DOSE;853,702,151 DOSE
151;1296;BabySwap BABY;$0.008012;-0.08%;+2.54%;-16.87%;$4.91M $4,906,140;$190,482 23,775,400 BABY;614,068,400 BABY
152;1302;X World Games XWG;$0.001434;-0.43%;+0.69%;-26.11%;$4.86M $4,857,113;$141,184 98,484,475 XWG;3,377,564,103 XWG
153;1320;Rebel Bots RBLS;$0.03622;+0.24%;-1.77%;-6.41%;$4.47M $4,467,259;$59,907 1,653,857 RBLS;123,295,295 RBLS
154;1326;MARS4 MARS4;$0.001728;+0.12%;-6.70%;-11.41%;$4.31M $4,313,587;$288,653 167,027,985 MARS4;2,483,082,772 MARS4
155;1329;Sinverse SIN;$0.006624;+0.31%;-8.31%;-22.55%;$4.24M $4,243,705;$1,109,598 167,505,188 SIN;639,944,169 SIN
156;1337;Dotmoovs MOOV;$0.005463;+3.24%;-0.67%;-30.59%;$3.96M $3,958,205;$923,662 169,083,745 MOOV;731,180,094 MOOV
157;1341;DOGAMÍ DOGA;$0.01151;-0.02%;-1.76%;-23.89%;$3.97M $3,966,839;$41,509 3,605,717 DOGA;344,541,404 DOGA
158;1353;Exeedme XED;$0.04207;+0.23%;+2.03%;-13.02%;$3.85M $3,846,550;$70,772 1,682,339 XED;91,430,976 XED
159;1356;Xaya CHI;$0.06995;-0.35%;+2.40%;-10.65%;$3.83M $3,830,526;$7,900 112,937 CHI;54,745,777 CHI
160;1371;Crypton CRP;$0.3638;+0.05%;+0.03%;+9.78%;$3.55M $3,553,124;$582,055 1,600,068 CRP;9,768,314 CRP
161;1401;Battle World BWO;$0.004703;+0.03%;-3.90%;-43.19%;$3.23M $3,231,716;$237,333 50,461,805 BWO;690,058,960 BWO
162;1404;Unix Gaming UNIX;$0.008266;+0.33%;+0.99%;-34.89%;$3.18M $3,180,254;$15,834 1,915,463 UNIX;384,723,122 UNIX
163;1410;Revomon REVO;$0.09454;+0.27%;+6.59%;-21.32%;$3.12M $3,115,398;$87,569 926,215 REVO;32,951,612 REVO
164;1448;Fabwelt WELT;$0.01168;-0.49%;-2.49%;-18.02%;$2.68M $2,676,056;$285,875 24,470,370 WELT;228,991,733 WELT
165;1451;ChainGuardians CGG;$0.04338;+0.05%;+2.17%;-10.15%;$2.67M $2,668,113;$26,518 611,284 CGG;61,478,209 CGG
166;1455;VisionGame VISION;$0.00481;+0.21%;+2.93%;-12.10%;$2.65M $2,645,577;$433,730 90,144,702 VISION;550,000,000 VISION
167;1458;SHILL Token SHILL;$0.007247;+0.06%;+2.03%;-20.48%;$2.59M $2,587,885;$716,166 98,820,535 SHILL;357,073,944 SHILL
168;1459;Heroes Chained HEC;$0.0525;+0.66%;-0.38%;-36.00%;$2.58M $2,580,673;$216,957 4,132,362 HEC;49,153,913 HEC
169;1460;Niftyx Protocol SHROOM;$0.05022;-3.32%;-1.24%;-32.85%;$2.58M $2,580,402;$5,881 117,115 SHROOM;51,386,058 SHROOM
170;1465;NFTb NFTB;$0.01014;-1.91%;+0.69%;-29.79%;$2.53M $2,530,140;$580,781 57,261,613 NFTB;249,435,031 NFTB
171;1470;Castle of Blackwater COBE;$0.3322;-0.66%;+0.15%;-25.31%;$2.48M $2,478,524;$21,083 63,468 COBE;7,475,175 COBE
172;1477;Vidya VIDYA;$0.06431;+0.29%;+1.79%;-12.03%;$2.47M $2,468,612;$308,017 4,789,225 VIDYA;38,248,269 VIDYA
173;1493;RealFevr FEVR;$0.0002137;+0.01%;+2.12%;-22.09%;$2.3M $2,303,479;$342,984 1,604,946,865 FEVR;10,779,065,385 FEVR
174;1498;My DeFi Pet DPET;$0.05465;-0.17%;+1.43%;-12.39%;$2.28M $2,277,013;$58,313 1,067,054 DPET;41,657,911 DPET
175;1505;Monsta Infinite MONI;$0.01533;-0.86%;+1.27%;-23.22%;$2.2M $2,202,455;$523,047 34,116,339 MONI;142,965,613 MONI
